strategy,trade_date,last_signal_date,cash,market_value,total_equity,nav,position_count,gross_exposure,locked_count,buffer_kept_count,band_reweight_count,locked_value,candidate_count,executed,equity_before,max_total_positions,position_ratio,position_cap_skipped,cash_residual_ratio,intentional_cash_ratio,planned_cash_buffer_ratio,unexpected_cash_residual_ratio,planned_vs_filled_notional_gap,planned_vs_filled_share_gap,buy_order_shortfall_ratio,t1_not_tradable_reject_count,limit_block_reject_count,corporate_action_status,ledger_eod_equity,ledger_reconciliation_error_bps,ledger_event_count,strict_ledger_frozen
vls_mom_contrarian_v1_frozen,2024-01-03,2024-01-02,53491.641704000045,447632.0,501123.64170400007,1.002247283408,10,0.8932565992653843,0.0,0.0,0.0,0.0,10.0,10.0,500000.0,10.0,1.0,0.0,0.10715051499459348,0.0,0.0,0.10715051499459348,43721.87200000009,0.0,0.089247325348503,0.0,0.0,NO_ACTION_CONFIRMED,501123.64170400007,0.0,20,
vls_mom_contrarian_v1_frozen,2024-01-04,2024-01-03,53491.641704000045,451912.0,505403.64170400007,1.0108072834080002,10,0.8941605534862201,10.0,0.0,0.0,447632.0,10.0,0.0,501123.64170400007,10.0,1.0,4.0,0.10690190076466427,0.0,0.0,0.10690190076466427,0.0,0.0,0.0,0.0,0.0,NO_ACTION_CONFIRMED,505403.64170400007,0.0,20,
vls_mom_contrarian_v1_frozen,2024-01-05,2024-01-04,53491.641704000045,449996.0,503487.64170400007,1.0069752834080001,10,0.8937577861435421,10.0,0.0,0.0,451912.0,10.0,0.0,505403.64170400007,10.0,1.0,3.0,0.10564212667009933,0.0,0.0,0.10564212667009933,0.0,0.0,0.0,0.0,0.0,NO_ACTION_CONFIRMED,503487.64170400007,0.0,20,
vls_mom_contrarian_v1_frozen,2024-01-08,2024-01-04,53491.641704000045,446068.0,499559.64170400007,0.9991192834080002,10,0.8929224115832499,,,,,,,,,,,,,,,,,,,,CORPORATE_ACTION_UNKNOWN_FAIL_CLOSED,499559.64170400007,0.0,22,1.0
vls_mom_contrarian_v1_frozen,2024-01-09,2024-01-08,53491.641704000045,451404.0,504895.64170400007,1.009791283408,10,0.8940540632843093,10.0,0.0,0.0,446068.0,10.0,0.0,499559.64170400007,10.0,1.0,7.0,0.10731022725787795,0.0,0.0,0.10731022725787795,0.0,0.0,0.0,0.0,0.0,NO_ACTION_CONFIRMED,504895.64170400007,0.0,22,
vls_mom_contrarian_v1_frozen,2024-01-10,2024-01-08,53491.641704000045,448018.0,501509.64170400007,1.003019283408,10,0.8933387571129254,,,,,,,,,,,,,,,,,,,,CORPORATE_ACTION_UNKNOWN_FAIL_CLOSED,501509.64170400007,0.0,24,1.0
vls_mom_contrarian_v1_frozen,2024-01-11,2024-01-10,53491.641704000045,449592.0,503083.64170400007,1.0061672834080002,10,0.8936724686121418,10.0,0.0,0.0,448018.0,10.0,0.0,501509.64170400007,10.0,1.0,8.0,0.10794123124388105,0.0,0.0,0.10794123124388105,0.0,0.0,0.0,0.0,0.0,NO_ACTION_CONFIRMED,503083.64170400007,0.0,24,
vls_mom_contrarian_v1_frozen,2024-01-12,2024-01-11,53491.641704000045,449186.0,502677.64170400007,1.0053552834080002,10,0.8935865905579735,10.0,0.0,0.0,449592.0,10.0,0.0,503083.64170400007,10.0,1.0,10.0,0.10539920882755183,0.0,0.0,0.10539920882755183,0.0,0.0,0.0,0.0,0.0,NO_ACTION_CONFIRMED,502677.64170400007,0.0,24,
vls_mom_contrarian_v1_frozen,2024-01-15,2024-01-12,53491.641704000045,446919.0,500410.64170400007,1.0008212834080001,10,0.8931045080858989,10.0,0.0,0.0,449186.0,10.0,0.0,502677.64170400007,10.0,1.0,10.0,0.10655585766412676,0.0,0.0,0.10655585766412676,0.0,0.0,0.0,0.0,0.0,NO_ACTION_CONFIRMED,500410.64170400007,0.0,24,
vls_mom_contrarian_v1_frozen,2024-01-16,2024-01-15,53491.641704000045,440564.0,494055.64170400007,0.9881112834080001,10,0.8917295195344654,10.0,0.0,0.0,446919.0,10.0,0.0,500410.64170400007,10.0,1.0,10.0,0.10694165279694214,0.0,0.0,0.10694165279694214,0.0,0.0,0.0,0.0,0.0,NO_ACTION_CONFIRMED,494055.64170400007,0.0,24,
vls_mom_contrarian_v1_frozen,2024-01-17,2024-01-16,53491.641704000045,430798.0,484289.64170400007,0.9685792834080001,10,0.8895461783659325,10.0,0.0,0.0,440564.0,10.0,0.0,494055.64170400007,10.0,1.0,10.0,0.10803846447152836,0.0,0.0,0.10803846447152836,0.0,0.0,0.0,0.0,0.0,NO_ACTION_CONFIRMED,484289.64170400007,0.0,24,
vls_mom_contrarian_v1_frozen,2024-01-18,2024-01-17,53491.641704000045,423424.0,476915.64170400007,0.9538312834080002,10,0.8878383575072593,10.0,0.0,0.0,430798.0,10.0,0.0,484289.64170400007,10.0,1.0,10.0,0.11112476061781944,0.0,0.0,0.11112476061781944,0.0,0.0,0.0,0.0,0.0,NO_ACTION_CONFIRMED,476915.64170400007,0.0,24,
vls_mom_contrarian_v1_frozen,2024-01-19,2024-01-17,53491.641704000045,419971.0,473462.64170400007,0.9469252834080001,10,0.887020353894274,,,,,,,,,,,,,,,,,,,,CORPORATE_ACTION_UNKNOWN_FAIL_CLOSED,473462.64170400007,0.0,26,1.0
