strategy,trade_date,symbol,name,industry,shares,entry_date,holding_trade_days,close,market_value,weight
vls_mom_contrarian_v1_frozen,2025-02-05,002133,,全国地产,19200,2025-02-05,1,2.41,46272.0,0.09350416267459108
vls_mom_contrarian_v1_frozen,2025-02-05,002798,,家居用品,12300,2025-02-05,1,3.69,45387.0,0.09171579856742015
vls_mom_contrarian_v1_frozen,2025-02-05,002963,,装修装饰,4200,2025-02-05,1,11.26,47292.0,0.0955653280862457
vls_mom_contrarian_v1_frozen,2025-02-05,603001,,服饰,9000,2025-02-05,1,5.04,45360.0,0.09166123830652341
vls_mom_contrarian_v1_frozen,2025-02-05,603359,,建筑工程,10000,2025-02-05,1,4.61,46100.0,0.09315659360517481
vls_mom_contrarian_v1_frozen,2025-02-05,603898,,家居用品,5100,2025-02-05,1,8.46,43146.00000000001,0.08718729691299074
vls_mom_contrarian_v1_frozen,2025-02-05,920057,,钢加工,8200,2025-02-05,1,5.47,44854.0,0.09063873860231043
vls_mom_contrarian_v1_frozen,2025-02-05,920266,,中成药,5000,2025-02-05,1,8.87,44349.99999999999,0.0896202803989046
vls_mom_contrarian_v1_frozen,2025-02-05,920719,,化工原料,5100,2025-02-05,1,8.79,44828.99999999999,0.09058821984222083
vls_mom_contrarian_v1_frozen,2025-02-05,920819,,农药化肥,14400,2025-02-05,1,3.1,44640.0,0.09020629801594367
vls_mom_contrarian_v1_frozen,2025-02-06,002133,,全国地产,19200,2025-02-05,2,2.42,46464.0,0.09212363741594488
vls_mom_contrarian_v1_frozen,2025-02-06,002798,,家居用品,12300,2025-02-05,2,3.75,46125.0,0.09145150602209147
vls_mom_contrarian_v1_frozen,2025-02-06,002963,,装修装饰,4200,2025-02-05,2,11.35,47670.0,0.09451475971974202
vls_mom_contrarian_v1_frozen,2025-02-06,603001,,服饰,9000,2025-02-05,2,5.04,45360.0,0.08993474933684703
vls_mom_contrarian_v1_frozen,2025-02-06,603359,,建筑工程,10000,2025-02-05,2,4.63,46300.0,0.09179847650564411
vls_mom_contrarian_v1_frozen,2025-02-06,603898,,家居用品,5100,2025-02-05,2,8.5,43350.0,0.08594954549718516
vls_mom_contrarian_v1_frozen,2025-02-06,920057,,钢加工,8200,2025-02-05,2,5.72,46904.0,0.09299602034602013
vls_mom_contrarian_v1_frozen,2025-02-06,920266,,中成药,5000,2025-02-05,2,9.15,45750.0,0.09070799784305007
vls_mom_contrarian_v1_frozen,2025-02-06,920719,,化工原料,5100,2025-02-05,2,9.33,47583.0,0.09434226582220441
vls_mom_contrarian_v1_frozen,2025-02-06,920819,,农药化肥,14400,2025-02-05,2,3.21,46224.0,0.09164779218135839
vls_mom_contrarian_v1_frozen,2025-02-07,002133,,全国地产,19200,2025-02-05,3,2.46,47232.0,0.09111468454568417
vls_mom_contrarian_v1_frozen,2025-02-07,002798,,家居用品,12300,2025-02-05,3,3.85,47355.0,0.09135196237002188
vls_mom_contrarian_v1_frozen,2025-02-07,002963,,装修装饰,4200,2025-02-05,3,11.41,47922.0,0.09244575526757869
vls_mom_contrarian_v1_frozen,2025-02-07,603001,,服饰,9000,2025-02-05,3,5.09,45810.0,0.0883715214057798
vls_mom_contrarian_v1_frozen,2025-02-07,603359,,建筑工程,10000,2025-02-05,3,4.69,46900.00000000001,0.09047422732877261
vls_mom_contrarian_v1_frozen,2025-02-07,603898,,家居用品,5100,2025-02-05,3,8.58,43758.0,0.08441303282414565
